,Model name,X_train,X_test,X_test1,X_test2,X_test3,X_test4,Epochs,Number of parameters,Batches,Learning rate,Train duration,Rotation range,Shear range,Shift range,Hor flip,Ver flip,Zoom range,Fill mode,Number of classes,Regularization Strength
0,16.11.2017 17:13:59,0.98,0.7516666667,0.9466666667,0.7133333333,0.62,0.7266666667,2000,4433438,64,0.01,1116,0.5,0.3333333333,0.4,True,True,0.5,nearest,30,
0,16.11.2017 17:25:41,0.896,0.636,0.808,0.652,0.448,0.636,2000,7141938,64,0.01,1643,0.5,0.3333333333,0.4,True,True,0.7,nearest,50,
0,16.11.2017 17:46:9,0.88,0.612,0.804,0.608,0.448,0.588,2000,7141938,64,0.01,1633,0.5,0.3333333333,0.4,True,True,0.5,nearest,50,
0,16.11.2017 17:52:46,0.6972972973,0.3743243243,0.6,0.1855855856,0.2972972973,0.4144144144,100,15402863,64,0.01,167,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 17:58:1,0.6972972973,0.3878378378,0.6414414414,0.2,0.3117117117,0.3981981982,100,15402863,64,0.01,180,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:2:51,0.7081081081,0.3810810811,0.6234234234,0.236036036,0.2522522523,0.4126126126,100,15402863,64,0.01,173,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:6:56,0.4234234234,0.2346846847,0.3585585586,0.1765765766,0.163963964,0.2396396396,100,15402863,128,0.01,167,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:10:54,0.0756756757,0.0617117117,0.0738738739,0.0954954955,0.0378378378,0.0396396396,100,15402863,128,0.01,160,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:16:3,0.7459459459,0.4238738739,0.6648648649,0.2414414414,0.3315315315,0.4576576577,100,15402863,32,0.01,215,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:21:27,0.93,0.5715,0.852,0.372,0.498,0.564,2000,13913188,128,0.01,2802,0.5,0.3333333333,0.4,True,True,0.5,nearest,100,
0,16.11.2017 18:21:31,0.4918918919,0.281981982,0.4198198198,0.2126126126,0.2036036036,0.2918918919,100,15402863,16,0.01,286,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:27:54,0.7333333333,0.3990990991,0.6558558559,0.1585585586,0.3531531532,0.4288288288,100,15402863,32,0.01,224,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:32:9,0.6684684685,0.3684684685,0.572972973,0.2720720721,0.2594594595,0.3693693694,100,15402863,64,0.01,165,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:37:49,0.6036036036,0.3581081081,0.5171171171,0.3135135135,0.2630630631,0.3387387387,100,15402863,48,0.01,175,0.5,0.3333333333,0.4,True,True,0.5,nearest,111,
0,16.11.2017 18:43:34,0.8414414414,0.4815315315,0.7387387387,0.1513513514,0.554954955,0.4810810811,100,15402863,64,0.01,166,0.5,0.3333333333,0.4,True,True,0.5,wrap,111,
0,16.11.2017 18:47:31,0.8252252252,0.4851351351,0.7513513514,0.236036036,0.4648648649,0.4882882883,100,15402863,64,0.01,170,0.5,0.3333333333,0.4,True,True,0.5,reflect,111,
0,16.11.2017 18:50:48,0.763963964,0.4779279279,0.6990990991,0.2216216216,0.5513513514,0.4396396396,100,7609327,64,0.01,143,0.5,0.3333333333,0.4,True,True,0.5,reflect,111,
0,16.11.2017 19:10:7,0.7603603604,0.4189189189,0.6828828829,0.1873873874,0.4126126126,0.3927927928,100,7609327,64,0.01,143,0.5,0.3333333333,0.4,True,True,0.5,reflect,111,
0,16.11.2017 19:14:57,0.4756756757,0.2648648649,0.4198198198,0.1657657658,0.2126126126,0.2612612613,100,17456239,64,0.01,142,0.5,0.3333333333,0.4,True,True,0.5,reflect,111,
0,16.11.2017 19:34:10,0.809009009,0.4504504505,0.7027027027,0.1765765766,0.445045045,0.4774774775,2000,15402863,32,0.01,4066,0.5,0.3333333333,0.4,True,True,0.5,wrap,111,
0,16.11.2017 20:35:22,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,2000,7561839,64,0.01,3303,0.5,0.3333333333,0.4,True,True,0.5,reflect,111,
0,16.11.2017 21:31:59,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,2000,7561839,64,0.01,3391,0.5,0.3333333333,0.4,True,True,0.5,wrap,111,
0,16.11.2017 23:31:23,0.9495495495,0.6324324324,0.8648648649,0.4954954955,0.5783783784,0.590990991,10000,17456239,64,0.01,14562,0.5,0.3333333333,0.4,True,True,0.5,reflect,111,
0,17.11.2017 3:21:13,0.9459459459,0.6558558559,0.8378378378,0.5801801802,0.618018018,0.5873873874,10000,17456239,64,0.01,13786,0.5,0.3333333333,0.4,True,True,0.5,wrap,111,
0,17.11.2017 15:36:50,0.9387387387,0.5864864865,0.8666666667,0.2792792793,0.6072072072,0.5927927928,2000,15402863,64,0.01,3133,0.5,0.25,0.4,True,True,0.5,reflect,111,
0,17.11.2017 16:30:28,0.9441441441,0.6297297297,0.8486486486,0.4162162162,0.6594594595,0.5945945946,2000,15402863,64,0.01,3213,0.5,0.25,0.4,True,True,0.5,wrap,111,
0,20.11.2017 11:33:30,0.8252252252,0.4738738739,0.7405405405,0.1675675676,0.5135135135,0.4738738739,100,7609327,64,0.01,141,0.5,0.2,0.4,True,True,0.5,reflect,111,
0,20.11.2017 11:38:55,0.8144144144,0.4414414414,0.7495495495,0.1063063063,0.4972972973,0.4126126126,100,7609327,64,0.01,141,0.5,0,0.4,True,True,0.5,reflect,111,
0,20.11.2017 11:41:51,0.754954955,0.4418918919,0.6486486486,0.3117117117,0.4342342342,0.372972973,100,7609327,64,0.01,141,0.5,0.25,0.4,True,True,0.5,reflect,111,
0,20.11.2017 11:46:33,0.7621621622,0.4396396396,0.6882882883,0.2396396396,0.4036036036,0.427027027,100,7609327,64,0.01,141,0.5,0.3333333333,0.4,True,True,0.5,reflect,111,
0,20.11.2017 11:49:31,0.7297297297,0.413963964,0.6522522523,0.1873873874,0.4162162162,0.4,100,7609327,64,0.01,141,0.5,0.5,0.4,True,True,0.5,reflect,111,
0,20.11.2017 11:56:7,0.7747747748,0.4369369369,0.7063063063,0.1081081081,0.436036036,0.4972972973,200,7609327,64,0.01,281,0.5,1,0.4,True,True,0.5,reflect,111,
0,20.11.2017 12:0:51,0.7873873874,0.463963964,0.6918918919,0.3117117117,0.3783783784,0.4738738739,200,7609327,64,0.01,280,0.5,0.75,0.4,True,True,0.5,reflect,111,
0,20.11.2017 12:5:34,0.8324324324,0.5103603604,0.7621621622,0.1891891892,0.5567567568,0.5333333333,200,7609327,64,0.01,280,0.5,0.5,0.4,True,True,0.5,reflect,111,
0,20.11.2017 12:10:16,0.9081081081,0.5522522523,0.8306306306,0.2252252252,0.590990991,0.5621621622,200,7609327,64,0.01,279,0.5,0.3333333333,0.4,True,True,0.5,reflect,111,
0,20.11.2017 12:14:59,0.8054054054,0.418018018,0.7027027027,0.0720720721,0.4756756757,0.4216216216,200,7609327,64,0.01,279,0.5,0.25,0.4,True,True,0.5,reflect,111,
0,20.11.2017 12:19:43,0.8720720721,0.5581081081,0.7765765766,0.3747747748,0.5711711712,0.5099099099,200,7609327,64,0.01,281,0.5,0.2,0.4,True,True,0.5,reflect,111,
0,20.11.2017 12:24:25,0.9495495495,0.5801801802,0.8738738739,0.2036036036,0.6864864865,0.5567567568,200,7609327,64,0.01,279,0.5,0,0.4,True,True,0.5,reflect,111,
0,20.11.2017 13:9:27,0.8972972973,0.504954955,0.8216216216,0.1405405405,0.5711711712,0.4864864865,200,7609327,64,0.01,280,0.5,0,0.4,True,True,0.5,reflect,111,
0,20.11.2017 13:14:8,0.9135135135,0.5067567568,0.8072072072,0.1801801802,0.6,0.4396396396,200,7609327,64,0.01,278,0.5,0,0.4,True,False,0.5,reflect,111,
0,20.11.2017 13:18:50,0.8486486486,0.4545045045,0.7207207207,0.2324324324,0.4846846847,0.3801801802,200,7609327,64,0.01,278,0.5,0,0.4,False,True,0.5,reflect,111,
0,20.11.2017 13:23:33,0.9459459459,0.5189189189,0.8144144144,0.2324324324,0.6612612613,0.3675675676,200,7609327,64,0.01,279,0.5,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 13:33:27,0.8900900901,0.4752252252,0.7765765766,0.1387387387,0.5297297297,0.4558558559,200,15402863,64,0.01,314,0.5,0,0.4,True,True,0.5,reflect,111,
0,20.11.2017 13:38:47,0.9099099099,0.5112612613,0.809009009,0.245045045,0.563963964,0.427027027,200,15402863,64,0.01,315,0.5,0,0.4,True,False,0.5,reflect,111,
0,20.11.2017 13:44:8,0.9567567568,0.5418918919,0.8774774775,0.181981982,0.6306306306,0.4774774775,200,15402863,64,0.01,316,0.5,0,0.4,False,True,0.5,reflect,111,
0,20.11.2017 13:49:30,0.9459459459,0.5337837838,0.809009009,0.3765765766,0.5873873874,0.3621621622,200,15402863,64,0.01,316,0.5,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:1:39,0.9495495495,0.5648648649,0.8432432432,0.236036036,0.636036036,0.5441441441,200,15401839,64,0.01,327,0.5,0,0.4,True,True,0.5,reflect,111,
0,20.11.2017 14:7:12,0.9441441441,0.5630630631,0.8396396396,0.2648648649,0.6630630631,0.4846846847,200,15401839,64,0.01,327,0.5,0,0.4,True,False,0.5,reflect,111,
0,20.11.2017 14:12:45,0.9135135135,0.5085585586,0.818018018,0.1567567568,0.6198198198,0.4396396396,200,15401839,64,0.01,327,0.5,0,0.4,False,True,0.5,reflect,111,
0,20.11.2017 14:18:19,0.9567567568,0.5734234234,0.8432432432,0.381981982,0.6504504505,0.418018018,200,15401839,64,0.01,328,0.5,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:25:9,0.9657657658,0.5972972973,0.8522522523,0.4540540541,0.6882882883,0.3945945946,200,15401839,64,0.01,327,0,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:30:41,0.9441441441,0.5662162162,0.7873873874,0.3333333333,0.5945945946,0.5495495495,200,15401839,64,0.01,327,45,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:36:14,0.9063063063,0.5355855856,0.7801801802,0.1405405405,0.5135135135,0.7081081081,200,15401839,64,0.01,327,90,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:41:47,0.7477477477,0.4288288288,0.5945945946,0.0756756757,0.4036036036,0.6414414414,200,15401839,64,0.01,327,135,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:47:20,0.8144144144,0.5067567568,0.7225225225,0.0990990991,0.4468468468,0.7585585586,200,15401839,64,0.01,327,180,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:15:42,0.9747747748,0.613963964,0.8666666667,0.436036036,0.7297297297,0.4234234234,200,15401839,64,0.01,610,0,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:26:1,0.9693693694,0.5657657658,0.8342342342,0.2630630631,0.581981982,0.5837837838,200,15401839,64,0.01,613,45,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:36:21,0.8738738739,0.5085585586,0.7459459459,0.1153153153,0.4810810811,0.6918918919,200,15401839,64,0.01,614,90,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:46:40,0.8630630631,0.5292792793,0.7279279279,0.190990991,0.4684684685,0.7297297297,200,15401839,64,0.01,614,135,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:57:0,0.8612612613,0.5572072072,0.7495495495,0.1585585586,0.5207207207,0.8,200,15401839,64,0.01,614,180,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 17:14:7,0.9801801802,0.5328828829,0.8234234234,0.1693693694,0.5477477477,0.590990991,2000,15401839,64,0.01,3232,45,0,0.4,False,False,0.2,reflect,111,
0,20.11.2017 18:8:13,0.9405405405,0.5369369369,0.7891891892,0.2594594595,0.5315315315,0.5675675676,2000,15401839,64,0.01,3240,45,0,0.4,False,False,0.35,reflect,111,
0,20.11.2017 19:2:41,0.981981982,0.6310810811,0.8540540541,0.409009009,0.645045045,0.6162162162,2000,15401839,64,0.01,3262,45,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 19:57:5,0.9711711712,0.6418918919,0.7891891892,0.4972972973,0.6738738739,0.6072072072,2000,15401839,64,0.01,3258,45,0,0.4,False,False,0.7,reflect,111,
0,20.11.2017 20:50:30,0.7891891892,0.3698198198,0.5927927928,0.1513513514,0.3495495495,0.3855855856,2000,15401839,64,0.01,3198,45,0,0.4,False,False,0.1,reflect,111,
0,21.11.2017 9:43:57,0.6594594595,0.3743243243,0.4810810811,0.5711711712,0.1801801802,0.2648648649,100,15401839,64,0.01,164,45,0,0.4,False,False,"[0.5, 1.0]",reflect,111,
0,21.11.2017 10:47:44,0.2774774775,0.1554054054,0.2108108108,0.0504504505,0.1891891892,0.1711711712,100,15401839,64,0.01,164,180,0,0.4,False,False,1,reflect,111,
0,21.11.2017 11:44:32,0.763963964,0.5103603604,0.645045045,0.1459459459,0.5531531532,0.6972972973,2000,15401839,64,0.01,3234,180,0,0.4,False,False,1,reflect,111,
0,21.11.2017 12:40:51,0.7315315315,0.4972972973,0.6378378378,0.1711711712,0.5171171171,0.6630630631,2000,15401839,64,0.01,3229,180,0.2,0.4,False,False,1,reflect,111,
0,21.11.2017 15:23:50,0.1333333333,0.0648648649,0.0900900901,0.0198198198,0.0594594595,0.0900900901,100,15401839,64,0.001,165,180,0.2,0.4,False,False,1,reflect,111,0.01
0,21.11.2017 15:26:42,0.018018018,0.0216216216,0.018018018,0.0252252252,0.0252252252,0.018018018,100,15401839,64,0.001,167,180,0.2,0.4,False,False,1,reflect,111,0.05
0,21.11.2017 15:29:34,0.0144144144,0.0144144144,0.0162162162,0.009009009,0.0162162162,0.0162162162,100,15401839,64,0.001,167,180,0.2,0.4,False,False,1,reflect,111,0.1
0,21.11.2017 15:59:34,0.6234234234,0.3923423423,0.5099099099,0.0612612613,0.3369369369,0.6612612613,1000,15401839,64,0.001,1654,180,0.2,0.4,False,False,1,reflect,111,0.01
0,21.11.2017 16:26:4,0.9855855855855856,0.39414414414414417,0.6144144144144145,0.2756756756756757,0.41081081081081083,0.2756756756756757,500,15401839,64,0.01,867,0,0.28087429150716736,0.1356162182650606,False,False,0,reflect,111,0.01
0,21.11.2017 16:27:9,0.06306306306306306,0.04279279279279279,0.05945945945945946,0.010810810810810811,0.04144144144144144,0.05945945945945946,1000,15401839,64,0.001,1650,180,0.2,0.4,False,False,1.0,reflect,111,0.05
0,21.11.2017 16:40:21,0.4144144144144144,0.22432432432432434,0.3387387387387387,0.2,0.21981981981981982,0.13873873873873874,500,15401839,64,0.01,852,0,0.48310698749426045,0.4200426784152772,False,False,0,reflect,111,0.01
0,21.11.2017 16:54:7,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,1000,15401839,64,0.001,1613,180,0.2,0.4,False,False,1.0,reflect,111,0.1
0,21.11.2017 16:54:37,0.9711711711711711,0.39864864864864863,0.6162162162162163,0.26846846846846845,0.436036036036036,0.27387387387387385,500,15401839,64,0.01,850,0,0.40903547159358694,0.13505744309498724,False,False,0,reflect,111,0.01
0,21.11.2017 17:8:49,0.8810810810810811,0.4436936936936937,0.7207207207207207,0.2828828828828829,0.42162162162162165,0.34954954954954953,500,15401839,64,0.01,847,0,0.26525986842231725,0.4610141991176454,False,False,0,reflect,111,0.01
0,21.11.2017 17:21:15,0.7315315315315315,0.4689189189189189,0.6234234234234234,0.06486486486486487,0.42702702702702705,0.7603603603603604,1000,15401839,64,0.005,1622,180,0.2,0.4,False,False,1.0,reflect,111,0.01
0,21.11.2017 17:23:3,0.9693693693693693,0.4126126126126126,0.6702702702702703,0.23423423423423423,0.46126126126126127,0.28468468468468466,500,15401839,64,0.01,849,0,0.18514293037041685,0.18621828011309227,False,False,0,reflect,111,0.01
0,21.11.2017 17:37:25,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,500,15401839,64,0.01,856,0,0.016970565345577504,0.13315358239675285,False,False,0,reflect,111,0.01
0,21.11.2017 17:48:24,0.036036036036036036,0.03423423423423423,0.04144144144144144,0.01981981981981982,0.03423423423423423,0.04144144144144144,1000,15401839,64,0.005,1624,180,0.2,0.4,False,False,1.0,reflect,111,0.05
0,21.11.2017 17:51:38,0.954954954954955,0.5265765765765765,0.8522522522522522,0.2648648648648649,0.5333333333333333,0.45585585585585586,500,15401839,64,0.01,847,0,0.32963181503391625,0.4337827125275169,False,False,0,reflect,111,0.01
0,21.11.2017 18:5:57,0.9567567567567568,0.4720720720720721,0.7657657657657657,0.2828828828828829,0.5225225225225225,0.3171171171171171,500,15401839,64,0.01,854,0,0.01707799051917297,0.32633827815665045,False,False,0,reflect,111,0.01
0,21.11.2017 18:14:56,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,1000,15401839,64,0.005,1587,180,0.2,0.4,False,False,1.0,reflect,111,0.1
0,21.11.2017 18:20:17,0.6270270270270271,0.2734234234234234,0.4828828828828829,0.0936936936936937,0.32972972972972975,0.1873873873873874,500,15401839,64,0.01,854,0,0.22133220918071106,0.3440089216086118,False,False,0,reflect,111,0.01
0,21.11.2017 18:31:52,0.97,0.7675,0.97,0.4,0.73,0.97,500,3078164,64,0.005,335,180,0.2,0.45,True,True,0.5,reflect,20,0.01
0,21.11.2017 18:34:24,0.9747747747747748,0.5031531531531531,0.8162162162162162,0.22882882882882882,0.5603603603603604,0.4072072072072072,500,15401839,64,0.01,842,0,0.4575009813424291,0.2345920191058108,False,False,0,reflect,111,0.01
0,21.11.2017 18:41:23,0.72,0.5725,0.7,0.17,0.66,0.76,500,3078164,64,0.002,337,180,0.2,0.45,True,True,0.7,reflect,20,0.01
0,21.11.2017 18:47:2,0.71,0.525,0.58,0.19,0.5,0.83,500,3078164,64,0.002,337,180,0.2,0.45,True,True,1.0,reflect,20,0.01
0,21.11.2017 19:3:46,0.63,0.42,0.55,0.29,0.2,0.64,250,3078164,64,0.005,165,180,0.3333333333333333,0.45,True,True,"[0.5, 1.0]",reflect,20,0.01
0,21.11.2017 19:6:37,0.67,0.515,0.6,0.05,0.7,0.71,250,3078164,64,0.005,169,180,0.3333333333333333,0.45,True,True,"[1.0, 1.5]",reflect,20,0.01
0,21.11.2017 19:17:41,0.645045045045045,0.42162162162162165,0.5603603603603604,0.4198198198198198,0.16756756756756758,0.5387387387387388,250,15401839,64,0.01,441,180,0.3333333333333333,0.45,True,True,"[-1.0, -0.5]",reflect,111,0.01
